Fecha;Activos
2023-07-19 00:00:00.000;3620
2023-07-20 00:00:00.000;3620
2023-07-21 00:00:00.000;3622
2023-07-22 00:00:00.000;3622
2023-07-24 00:00:00.000;3606
2023-07-25 00:00:00.000;3605
2023-07-26 00:00:00.000;3598
2023-07-27 00:00:00.000;3600
2023-07-28 00:00:00.000;3609
2023-07-29 00:00:00.000;3609
2023-07-31 00:00:00.000;3611
2023-08-01 00:00:00.000;3614
2023-08-02 00:00:00.000;3613
2023-08-03 00:00:00.000;3613
2023-08-04 00:00:00.000;3614
2023-08-05 00:00:00.000;3614
2023-08-07 00:00:00.000;3614
2023-08-08 00:00:00.000;3608
2023-08-09 00:00:00.000;3608
2023-08-10 00:00:00.000;3608
2023-08-11 00:00:00.000;3609
2023-08-12 00:00:00.000;3609
2023-08-14 00:00:00.000;3612
2023-08-15 00:00:00.000;3613
2023-08-16 00:00:00.000;3614
2023-08-17 00:00:00.000;3613
2023-08-18 00:00:00.000;3613
2023-08-19 00:00:00.000;3613
2023-08-21 00:00:00.000;3616
2023-08-22 00:00:00.000;3618
2023-08-23 00:00:00.000;3617
2023-08-24 00:00:00.000;3619
2023-08-25 00:00:00.000;3619
2023-08-26 00:00:00.000;3619
2023-08-28 00:00:00.000;3622
2023-08-29 00:00:00.000;3599
2023-08-30 00:00:00.000;3599
2023-08-31 00:00:00.000;3594
2023-09-01 00:00:00.000;3594
2023-09-02 00:00:00.000;3594
2023-09-04 00:00:00.000;3591
2023-09-05 00:00:00.000;3592
2023-09-06 00:00:00.000;3582
2023-09-07 00:00:00.000;3584
2023-09-08 00:00:00.000;3590
2023-09-09 00:00:00.000;3590
2023-09-11 00:00:00.000;3590
2023-09-12 00:00:00.000;3590
2023-09-13 00:00:00.000;3591
2023-09-14 00:00:00.000;3591
2023-09-15 00:00:00.000;3592
2023-09-16 00:00:00.000;3592
2023-09-18 00:00:00.000;3592
2023-09-19 00:00:00.000;3592
2023-09-20 00:00:00.000;3589
2023-09-21 00:00:00.000;3590
2023-09-22 00:00:00.000;3591
2023-09-23 00:00:00.000;3591
2023-09-25 00:00:00.000;3592
